"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 02 13:14:38 IST 2020","Wed Sep 02 13:14:55 IST 2020","16491","tests.home","test_login","LoginTests","","","test_invalidLogin",""
"failed","Wed Sep 02 13:14:55 IST 2020","Wed Sep 02 13:15:07 IST 2020","12335","tests.home","test_login","LoginTests","","","test_validLogin",""
